Points:0,Points:1,Points:2
0.44,0.4875,3
0.6425,0.485,3
0.645,0.4875,3
0.3675,0.49,3
0.37,0.4925,3
0.405,0.4925,3
0.4125,0.49,3
0.41,0.4925,3
0.4425,0.49,3
0.445,0.4925,3
0.6475,0.49,3
0.3725,0.495,3
0.375,0.4975,3
0.38,0.4975,3
0.385,0.4975,3
0.39,0.4975,3
0.395,0.4975,3
0.4025,0.495,3
0.4,0.4975,3
0.4475,0.495,3
0.45,0.4975,3
0.6475,0.495,3
0.4525,0.5,3
0.6475,0.5,3
0.4525,0.505,3
0.6475,0.505,3
0.65,0.5075,3
0.4525,0.51,3
0.6525,0.51,3
0.4525,0.515,3
0.455,0.5175,3
0.6525,0.515,3
0.655,0.5175,3
0.4575,0.52,3
0.6575,0.52,3
0.66,0.5225,3
0.4575,0.525,3
0.46,0.5275,3
0.6625,0.525,3
0.665,0.5275,3
0.69,0.5275,3
0.695,0.5275,3
0.7,0.5275,3
0.705,0.5275,3
0.71,0.5275,3
0.715,0.5275,3
0.4625,0.53,3
0.6675,0.53,3
0.67,0.5325,3
0.675,0.5325,3
0.68,0.5325,3
0.6875,0.53,3
0.685,0.5325,3
0.7175,0.53,3
0.72,0.5325,3
0.4625,0.535,3
0.465,0.5375,3
0.7225,0.535,3
0.725,0.5375,3
0.73,0.5375,3
0.735,0.5375,3
0.74,0.5375,3
0.745,0.5375,3
0.75,0.5375,3
0.755,0.5375,3
0.76,0.5375,3
0.765,0.5375,3
0.77,0.5375,3
0.775,0.5375,3
0.78,0.5375,3
0.4675,0.54,3
0.7825,0.54,3
0.785,0.5425,3
0.4675,0.545,3
0.47,0.5475,3
0.7875,0.545,3
0.79,0.5475,3
0.84,0.5475,3
0.845,0.5475,3
0.85,0.5475,3
0.855,0.5475,3
0.86,0.5475,3
0.865,0.5475,3
0.87,0.5475,3
0.875,0.5475,3
0.88,0.5475,3
0.885,0.5475,3
0.4725,0.55,3
0.475,0.5525,3
0.7925,0.55,3
0.83,0.5525,3
0.8375,0.55,3
0.835,0.5525,3
0.8875,0.55,3
0.89,0.5525,3
0.4775,0.555,3
0.48,0.5575,3
0.7925,0.555,3
0.795,0.5575,3
0.8275,0.555,3
0.825,0.5575,3
0.8925,0.555,3
0.895,0.5575,3
0.9,0.5575,3
0.905,0.5575,3
0.91,0.5575,3
0.915,0.5575,3
0.92,0.5575,3
0.925,0.5575,3
0.93,0.5575,3
0.935,0.5575,3
0.4825,0.56,3
0.485,0.5625,3
0.7975,0.56,3
0.8,0.5625,3
0.805,0.5625,3
0.81,0.5625,3
0.815,0.5625,3
0.8225,0.56,3
0.82,0.5625,3
0.9375,0.56,3
0.94,0.5625,3
0.4875,0.565,3
0.49,0.5675,3
0.495,0.5675,3
0.9425,0.565,3
0.945,0.5675,3
0.4975,0.57,3
0.5,0.5725,3
0.505,0.5725,3
0.9475,0.57,3
0.5075,0.575,3
0.51,0.5775,3
0.9475,0.575,3
0.5125,0.58,3
0.515,0.5825,3
0.9475,0.58,3
0.5175,0.585,3
0.9475,0.585,3
0.95,0.5875,3
0.5175,0.59,3
0.9525,0.59,3
0.5175,0.595,3
0.52,0.5975,3
0.9525,0.595,3
0.5225,0.6,3
0.9525,0.6,3
0.5225,0.605,3
0.9525,0.605,3
0.5225,0.61,3
0.9525,0.61,3
0.5225,0.615,3
0.9525,0.615,3
0.95,0.6175,3
0.5225,0.62,3
0.525,0.6225,3
0.89,0.6225,3
0.895,0.6225,3
0.9,0.6225,3
0.905,0.6225,3
0.91,0.6225,3
0.915,0.6225,3
0.9475,0.62,3
0.945,0.6225,3
0.5275,0.625,3
0.53,0.6275,3
0.8875,0.625,3
0.885,0.6275,3
0.9175,0.625,3
0.92,0.6275,3
0.925,0.6275,3
0.93,0.6275,3
0.935,0.6275,3
0.9425,0.625,3
0.94,0.6275,3
0.5325,0.63,3
0.535,0.6325,3
0.8825,0.63,3
0.88,0.6325,3
0.5375,0.635,3
0.54,0.6375,3
0.825,0.6375,3
0.83,0.6375,3
0.835,0.6375,3
0.84,0.6375,3
0.845,0.6375,3
0.85,0.6375,3
0.855,0.6375,3
0.86,0.6375,3
0.865,0.6375,3
0.87,0.6375,3
0.8775,0.635,3
0.875,0.6375,3
0.5425,0.64,3
0.545,0.6425,3
0.815,0.6425,3
0.8225,0.64,3
0.82,0.6425,3
0.5475,0.645,3
0.55,0.6475,3
0.8125,0.645,3
0.81,0.6475,3
0.5525,0.65,3
0.8075,0.65,3
0.805,0.6525,3
0.5525,0.655,3
0.555,0.6575,3
0.8025,0.655,3
0.8,0.6575,3
0.5575,0.66,3
0.7975,0.66,3
0.5575,0.665,3
0.7975,0.665,3
0.795,0.6675,3
0.5575,0.67,3
0.7925,0.67,3
0.79,0.6725,3
0.5575,0.675,3
0.56,0.6775,3
0.78,0.6775,3
0.7875,0.675,3
0.785,0.6775,3
0.5625,0.68,3
0.77,0.6825,3
0.7775,0.68,3
0.775,0.6825,3
0.5625,0.685,3
0.565,0.6875,3
0.7675,0.685,3
0.765,0.6875,3
0.5675,0.69,3
0.57,0.6925,3
0.755,0.6925,3
0.7625,0.69,3
0.76,0.6925,3
0.5725,0.695,3
0.575,0.6975,3
0.7525,0.695,3
0.75,0.6975,3
0.5775,0.7,3
0.58,0.7025,3
0.7475,0.7,3
0.745,0.7025,3
0.5825,0.705,3
0.585,0.7075,3
0.59,0.7075,3
0.595,0.7075,3
0.7425,0.705,3
0.74,0.7075,3
0.5975,0.71,3
0.6,0.7125,3
0.7375,0.71,3
0.735,0.7125,3
0.6025,0.715,3
0.605,0.7175,3
0.61,0.7175,3
0.615,0.7175,3
0.7325,0.715,3
0.73,0.7175,3
0.6175,0.72,3
0.62,0.7225,3
0.7275,0.72,3
0.725,0.7225,3
0.6225,0.725,3
0.625,0.7275,3
0.63,0.7275,3
0.635,0.7275,3
0.64,0.7275,3
0.645,0.7275,3
0.65,0.7275,3
0.655,0.7275,3
0.66,0.7275,3
0.665,0.7275,3
0.67,0.7275,3
0.675,0.7275,3
0.68,0.7275,3
0.685,0.7275,3
0.69,0.7275,3
0.695,0.7275,3
0.7,0.7275,3
0.705,0.7275,3
0.71,0.7275,3
0.715,0.7275,3
0.7225,0.725,3
0.72,0.7275,3
