"Points:0","Points:1","Points:2"
0.417004,0.297030,0.000000
0.425101,0.287129,0.000000
0.425101,0.257426,0.000000
0.429150,0.237624,0.000000
0.433198,0.217822,0.000000
0.437247,0.198020,0.000000
0.445344,0.188119,0.000000
0.449393,0.168317,0.000000
0.453441,0.148515,0.000000
0.457490,0.128713,0.000000
0.465587,0.118812,0.000000
0.477733,0.118812,0.000000
0.485830,0.108911,0.000000
0.493927,0.118812,0.000000
0.502024,0.128713,0.000000
0.506073,0.148515,0.000000
0.510121,0.168317,0.000000
0.518219,0.178218,0.000000
0.522267,0.198020,0.000000
0.526316,0.217822,0.000000
0.530364,0.237624,0.000000
0.534413,0.257426,0.000000
0.534413,0.287129,0.000000
0.534413,0.297030,0.000000
0.538462,0.316832,0.000000
0.534413,0.336634,0.000000
0.542510,0.346535,0.000000
0.546559,0.366337,0.000000
0.542510,0.386139,0.000000
0.534413,0.396040,0.000000
0.530364,0.415842,0.000000
0.526316,0.435644,0.000000
0.522267,0.455446,0.000000
0.514170,0.465347,0.000000
0.506073,0.475248,0.000000
0.493927,0.475248,0.000000
0.485830,0.465347,0.000000
0.477733,0.475248,0.000000
0.469636,0.465347,0.000000
0.461538,0.475248,0.000000
0.453441,0.465347,0.000000
0.445344,0.455446,0.000000
0.437247,0.445545,0.000000
0.433198,0.425743,0.000000
0.429150,0.405941,0.000000
0.425101,0.386139,0.000000
0.421053,0.366337,0.000000
0.417004,0.346535,0.000000
0.417004,0.316832,0.000000
0.421053,0.297030,0.000000
0.417004,0.297030,0.000000
