"Points:0","Points:1","Points:2"
0.502024,0.465347,0.000000
0.506073,0.495050,0.000000
0.510121,0.524752,0.000000
0.518219,0.524752,0.000000
0.526316,0.544554,0.000000
0.534413,0.564356,0.000000
0.534413,0.603960,0.000000
0.542510,0.623762,0.000000
0.550607,0.623762,0.000000
0.562753,0.613861,0.000000
0.570850,0.594059,0.000000
0.578947,0.574257,0.000000
0.587045,0.554455,0.000000
0.591093,0.524752,0.000000
0.599190,0.504950,0.000000
0.603239,0.475248,0.000000
0.603239,0.435644,0.000000
0.599190,0.405941,0.000000
0.595142,0.376238,0.000000
0.587045,0.356436,0.000000
0.574899,0.346535,0.000000
0.570850,0.316832,0.000000
0.562753,0.297030,0.000000
0.550607,0.287129,0.000000
0.538462,0.297030,0.000000
0.530364,0.316832,0.000000
0.522267,0.336634,0.000000
0.522267,0.356436,0.000000
0.514170,0.376238,0.000000
0.510121,0.405941,0.000000
0.506073,0.435644,0.000000
0.502024,0.465347,0.000000
0.502024,0.465347,0.000000
