"Points:0","Points:1","Points:2"
0.368421,0.524752,0.000000
0.376518,0.544554,0.000000
0.384615,0.564356,0.000000
0.392713,0.584158,0.000000
0.404858,0.594059,0.000000
0.417004,0.603960,0.000000
0.421053,0.574257,0.000000
0.421053,0.554455,0.000000
0.421053,0.534653,0.000000
0.429150,0.514851,0.000000
0.437247,0.534653,0.000000
0.441296,0.564356,0.000000
0.445344,0.554455,0.000000
0.449393,0.524752,0.000000
0.449393,0.485149,0.000000
0.453441,0.455446,0.000000
0.449393,0.425743,0.000000
0.449393,0.405941,0.000000
0.449393,0.386139,0.000000
0.445344,0.356436,0.000000
0.437247,0.336634,0.000000
0.425101,0.326733,0.000000
0.421053,0.297030,0.000000
0.412955,0.297030,0.000000
0.404858,0.316832,0.000000
0.396761,0.336634,0.000000
0.388664,0.356436,0.000000
0.380567,0.376238,0.000000
0.376518,0.386139,0.000000
0.376518,0.425743,0.000000
0.368421,0.445545,0.000000
0.368421,0.465347,0.000000
0.372470,0.495050,0.000000
0.368421,0.524752,0.000000
0.368421,0.524752,0.000000
