"Points:0","Points:1","Points:2"
0.514170,0.574257,0.000000
0.526316,0.594059,0.000000
0.534413,0.623762,0.000000
0.546559,0.643564,0.000000
0.562753,0.653465,0.000000
0.574899,0.633663,0.000000
0.587045,0.613861,0.000000
0.591093,0.574257,0.000000
0.595142,0.554455,0.000000
0.599190,0.514851,0.000000
0.599190,0.485149,0.000000
0.599190,0.455446,0.000000
0.603239,0.415842,0.000000
0.599190,0.376238,0.000000
0.595142,0.356436,0.000000
0.587045,0.326733,0.000000
0.570850,0.316832,0.000000
0.558704,0.297030,0.000000
0.546559,0.277228,0.000000
0.530364,0.287129,0.000000
0.526316,0.306931,0.000000
0.518219,0.336634,0.000000
0.514170,0.376238,0.000000
0.518219,0.415842,0.000000
0.518219,0.445545,0.000000
0.518219,0.495050,0.000000
0.518219,0.524752,0.000000
0.514170,0.564356,0.000000
0.514170,0.574257,0.000000
