"Points:0","Points:1","Points:2"
0.352227,0.475248,0.000000
0.360324,0.504950,0.000000
0.368421,0.534653,0.000000
0.376518,0.564356,0.000000
0.388664,0.584158,0.000000
0.404858,0.594059,0.000000
0.421053,0.603960,0.000000
0.433198,0.584158,0.000000
0.441296,0.554455,0.000000
0.441296,0.504950,0.000000
0.441296,0.475248,0.000000
0.441296,0.445545,0.000000
0.445344,0.405941,0.000000
0.445344,0.376238,0.000000
0.441296,0.336634,0.000000
0.433198,0.306931,0.000000
0.412955,0.306931,0.000000
0.396761,0.316832,0.000000
0.384615,0.336634,0.000000
0.376518,0.366337,0.000000
0.368421,0.396040,0.000000
0.360324,0.425743,0.000000
0.352227,0.455446,0.000000
0.352227,0.475248,0.000000
