"Points:0","Points:1","Points:2"
0.417004,0.702970,0.000000
0.425101,0.722772,0.000000
0.429150,0.752475,0.000000
0.433198,0.782178,0.000000
0.437247,0.811881,0.000000
0.445344,0.831683,0.000000
0.453441,0.851485,0.000000
0.461538,0.871287,0.000000
0.473684,0.881188,0.000000
0.485830,0.891089,0.000000
0.497976,0.881188,0.000000
0.502024,0.851485,0.000000
0.510121,0.831683,0.000000
0.518219,0.811881,0.000000
0.526316,0.792079,0.000000
0.530364,0.762376,0.000000
0.534413,0.732673,0.000000
0.534413,0.712871,0.000000
0.538462,0.683168,0.000000
0.538462,0.663366,0.000000
0.546559,0.643564,0.000000
0.542510,0.613861,0.000000
0.534413,0.594059,0.000000
0.530364,0.564356,0.000000
0.522267,0.544554,0.000000
0.514170,0.524752,0.000000
0.497976,0.524752,0.000000
0.485830,0.534653,0.000000
0.473684,0.524752,0.000000
0.461538,0.534653,0.000000
0.453441,0.534653,0.000000
0.441296,0.544554,0.000000
0.437247,0.574257,0.000000
0.429150,0.594059,0.000000
0.425101,0.623762,0.000000
0.417004,0.643564,0.000000
0.417004,0.683168,0.000000
0.417004,0.702970,0.000000
0.417004,0.702970,0.000000
