"Points:0","Points:1","Points:2"
0.417004,0.267327,0.000000
0.421053,0.297030,0.000000
0.429150,0.316832,0.000000
0.433198,0.346535,0.000000
0.437247,0.376238,0.000000
0.445344,0.396040,0.000000
0.457490,0.405941,0.000000
0.465587,0.405941,0.000000
0.477733,0.415842,0.000000
0.489879,0.405941,0.000000
0.497976,0.405941,0.000000
0.506073,0.405941,0.000000
0.518219,0.396040,0.000000
0.526316,0.376238,0.000000
0.534413,0.356436,0.000000
0.542510,0.336634,0.000000
0.546559,0.306931,0.000000
0.550607,0.277228,0.000000
0.550607,0.237624,0.000000
0.542510,0.217822,0.000000
0.534413,0.198020,0.000000
0.530364,0.168317,0.000000
0.522267,0.148515,0.000000
0.514170,0.128713,0.000000
0.506073,0.108911,0.000000
0.502024,0.079208,0.000000
0.493927,0.059406,0.000000
0.477733,0.059406,0.000000
0.461538,0.059406,0.000000
0.453441,0.079208,0.000000
0.445344,0.099010,0.000000
0.441296,0.128713,0.000000
0.433198,0.148515,0.000000
0.429150,0.178218,0.000000
0.421053,0.198020,0.000000
0.421053,0.237624,0.000000
0.421053,0.257426,0.000000
0.417004,0.267327,0.000000
