"Points:0","Points:1","Points:2"
0.433198,0.673267,0.000000
0.441296,0.693069,0.000000
0.453441,0.702970,0.000000
0.457490,0.673267,0.000000
0.465587,0.653465,0.000000
0.465587,0.673267,0.000000
0.473684,0.693069,0.000000
0.481781,0.693069,0.000000
0.493927,0.683168,0.000000
0.502024,0.663366,0.000000
0.510121,0.643564,0.000000
0.510121,0.603960,0.000000
0.510121,0.584158,0.000000
0.514170,0.554455,0.000000
0.506073,0.534653,0.000000
0.502024,0.524752,0.000000
0.489879,0.534653,0.000000
0.477733,0.544554,0.000000
0.469636,0.544554,0.000000
0.461538,0.544554,0.000000
0.453441,0.544554,0.000000
0.441296,0.554455,0.000000
0.437247,0.564356,0.000000
0.433198,0.594059,0.000000
0.433198,0.633663,0.000000
0.433198,0.673267,0.000000
0.433198,0.673267,0.000000
