"Points:0","Points:1","Points:2"
-14.7773,-1.2376,0.5
-13.9676,0.2475,0.5
-13.1579,1.73265,0.5
-12.3482,3.2178,0.5
-11.1336,4.2079,0.5
-9.5142,4.70295,0.5
-7.8947,5.198,0.5
-6.6802,4.2079,0.5
-5.8704,2.72275,0.5
-5.8704,0.2475,0.5
-5.8704,-1.2376,0.5
-5.8704,-2.72275,0.5
-5.4656,-4.70295,0.5
-5.4656,-6.1881,0.5
-5.8704,-8.1683,0.5
-6.6802,-9.65345,0.5
-8.7045,-9.65345,0.5
-10.3239,-9.1584,0.5
-11.5385,-8.1683,0.5
-12.3482,-6.68315,0.5
-13.1579,-5.198,0.5
-13.9676,-3.71285,0.5
-14.7773,-2.2277,0.5
-14.7773,-1.2376,0.5
