"Points:0","Points:1","Points:2"
0.2024,-1.73265,1.25
0.6073,-0.2475,1.25
1.0121,1.2376,1.25
1.8219,1.2376,1.25
2.6316,2.2277,1.25
3.4413,3.2178,1.25
3.4413,5.198,1.25
4.251,6.1881,1.25
5.0607,6.1881,1.25
6.2753,5.69305,1.25
7.085,4.70295,1.25
7.8947,3.71285,1.25
8.7045,2.72275,1.25
9.1093,1.2376,1.25
9.919,0.2475,1.25
10.3239,-1.2376,1.25
10.3239,-3.2178,1.25
9.919,-4.70295,1.25
9.5142,-6.1881,1.25
8.7045,-7.1782,1.25
7.4899,-7.67325,1.25
7.085,-9.1584,1.25
6.2753,-10.1485,1.25
5.0607,-10.6436,1.25
3.8462,-10.1485,1.25
3.0364,-9.1584,1.25
2.2267,-8.1683,1.25
2.2267,-7.1782,1.25
1.417,-6.1881,1.25
1.0121,-4.70295,1.25
0.6073,-3.2178,1.25
0.2024,-1.73265,1.25
0.2024,-1.73265,1.25
