Points:0,Points:1,Points:2
1.417,8.71285,0.5
2.6316,9.70295,0.5
3.4413,11.1881,0.5
4.6559,12.1782,0.5
6.2753,12.67325,0.5
7.4899,11.68315,0.5
8.7045,10.69305,0.5
9.1093,8.71285,0.5
9.5142,7.72275,0.5
9.919,5.74255,0.5
9.919,4.25745,0.5
9.919,2.7723,0.5
10.3239,0.7921,0.5
9.919,-1.1881,0.5
9.5142,-2.1782,0.5
8.7045,-3.66335,0.5
7.085,-4.1584,0.5
5.8704,-5.1485,0.5
4.6559,-6.1386,0.5
3.0364,-5.6436,0.5
2.6316,-4.65345,0.5
1.8219,-3.1683,0.5
1.417,-1.1881,0.5
1.8219,0.7921,0.5
1.8219,2.27725,0.5
1.8219,4.7525,0.5
1.8219,6.2376,0.5
1.417,8.2178,0.5
1.417,8.71285,0.5
