"Points:0","Points:1","Points:2"
1.417,3.71285,0.5
2.6316,4.70295,0.5
3.4413,6.1881,0.5
4.6559,7.1782,0.5
6.2753,7.67325,0.5
7.4899,6.68315,0.5
8.7045,5.69305,0.5
9.1093,3.71285,0.5
9.5142,2.72275,0.5
9.919,0.74255,0.5
9.919,-0.74255,0.5
9.919,-2.2277,0.5
10.3239,-4.2079,0.5
9.919,-6.1881,0.5
9.5142,-7.1782,0.5
8.7045,-8.66335,0.5
7.085,-9.1584,0.5
5.8704,-10.1485,0.5
4.6559,-11.1386,0.5
3.0364,-10.6436,0.5
2.6316,-9.65345,0.5
1.8219,-8.1683,0.5
1.417,-6.1881,0.5
1.8219,-4.2079,0.5
1.8219,-2.72275,0.5
1.8219,-0.2475,0.5
1.8219,1.2376,0.5
1.417,3.2178,0.5
1.417,3.71285,0.5
