"Points:0","Points:1","Points:2"
-6.6802,8.66335,1.5
-5.8704,9.65345,1.5
-4.6559,10.1485,1.5
-4.251,8.66335,1.5
-3.4413,7.67325,1.5
-3.4413,8.66335,1.5
-2.6316,9.65345,1.5
-1.8219,9.65345,1.5
-0.6073,9.1584,1.5
0.2024,8.1683,1.5
1.0121,7.1782,1.5
1.0121,5.198,1.5
1.0121,4.2079,1.5
1.417,2.72275,1.5
0.6073,1.73265,1.5
0.2024,1.2376,1.5
-1.0121,1.73265,1.5
-2.2267,2.2277,1.5
-3.0364,2.2277,1.5
-3.8462,2.2277,1.5
-4.6559,2.2277,1.5
-5.8704,2.72275,1.5
-6.2753,3.2178,1.5
-6.6802,4.70295,1.5
-6.6802,6.68315,1.5
-6.6802,8.66335,1.5
-6.6802,8.66335,1.5
